Regime,Label,Theme,run,Avg_Reward,Std_Reward,Avg_Alignment,Std_Alignment,N_agents
baseline_control,V_Baseline_Control,Baseline,51,1443.0,38.482319172431495,0.09850499999999998,0.08090003285949064,10
baseline_control,V_Baseline_Control,Baseline,52,1431.9,66.10000840477338,0.15214500000000003,0.09808913840085569,10
baseline_control,V_Baseline_Control,Baseline,53,1442.6,51.15379859903965,0.13816,0.10809669878811697,10
baseline_control,V_Baseline_Control,Baseline,54,1431.2,70.25951892804277,0.14696199999999998,0.08706691498177964,10
baseline_control,V_Baseline_Control,Baseline,55,1426.8,55.23243813396456,0.176644,0.0893452055792587,10
baseline_control,V_Baseline_Control,Baseline,56,1436.6,66.47004337795084,0.127089,0.08093789367300228,10
baseline_control,V_Baseline_Control,Baseline,57,1407.9,55.30410874830589,0.1376,0.07869559482235614,10
baseline_control,V_Baseline_Control,Baseline,58,1425.9,50.652300594894555,0.153342,0.07546125522412148,10
baseline_control,V_Baseline_Control,Baseline,59,1426.0,56.66862741705796,0.156389,0.08717414505204829,10
baseline_control,V_Baseline_Control,Baseline,60,1433.1,50.28021479667723,0.131869,0.07125387902891088,10
baseline_control,V_Baseline_Control,Baseline,61,1445.3,74.80649110278539,0.155359,0.09538611586016535,10
baseline_control,V_Baseline_Control,Baseline,62,1421.6,74.55378371797548,0.17164,0.10465277370640708,10
baseline_control,V_Baseline_Control,Baseline,63,1415.9,72.4775060890542,0.169445,0.08636674684802659,10
baseline_control,V_Baseline_Control,Baseline,64,1390.8,68.92636973208762,0.18654600000000002,0.11364922438998185,10
baseline_control,V_Baseline_Control,Baseline,65,1427.0,68.03757131990464,0.16170999999999996,0.09205622146879107,10
baseline_control,V_Baseline_Control,Baseline,66,1436.8,66.35393314977225,0.12107100000000001,0.09562742835841839,10
baseline_control,V_Baseline_Control,Baseline,67,1420.0,50.263748810096175,0.155057,0.07123663852104321,10
baseline_control,V_Baseline_Control,Baseline,68,1425.4,46.1836912051574,0.13491699999999998,0.07858984526571412,10
baseline_control,V_Baseline_Control,Baseline,69,1445.0,61.897765172365744,0.13517200000000001,0.08169601728358611,10
baseline_control,V_Baseline_Control,Baseline,70,1430.8,49.41389817989806,0.16047300000000003,0.0707787322184033,10
baseline_control,V_Baseline_Control,Baseline,71,1436.0,60.273450945577096,0.151867,0.1013639858299452,10
baseline_control,V_Baseline_Control,Baseline,72,1446.9,60.230022045119284,0.12118200000000001,0.09272890329701235,10
baseline_control,V_Baseline_Control,Baseline,73,1415.3,60.820409586110344,0.17783900000000002,0.09915672761957318,10
baseline_control,V_Baseline_Control,Baseline,74,1408.9,68.27143538031766,0.154628,0.07436958918506645,10
baseline_control,V_Baseline_Control,Baseline,75,1446.6,63.142167632520604,0.11219700000000002,0.06538446333461456,10
baseline_control,V_Baseline_Control,Baseline,76,1422.2,42.27108283974334,0.151086,0.07794379858447867,10
