Regime,Label,Theme,run,agent_id,alignment,belief,reward,name,label,description,theme,n_agents,n_steps,alignment_enforced,alignment_init_range_enforced,alignment_init_range_unenforced,reward_aligned_range,reward_unaligned_range,penalty_range,audit_schedule,memory_enabled,memory_window,memory_threshold,memory_alignment_bonus,belief_enabled,belief_init_noise,belief_feedback_strength,social_influence_enabled,social_influence_factor,adversarial_enabled,adversarial_factor,randomness_enabled,noise_action_flip_prob
baseline_enforced,V_Baseline_Enforced,Baseline,2,4,0.44564,,1175,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,2,5,0.85125,,1097,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,2,6,0.79295,,1069,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,2,7,0.60334,,1195,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,2,8,0.58724,,1181,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,2,9,0.72451,,1068,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,3,0,0.66047,,1122,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,3,1,0.61063,,1136,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,3,2,0.51047,,1174,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
baseline_enforced,V_Baseline_Enforced,Baseline,3,3,0.46517,,1225,baseline_enforced,V_Baseline_Enforced,Baseline with alignment incentives + scheduled audits.,Baseline,10,100,True,"(0.4, 0.9)","(0.0, 0.3)","(5, 15)","(10, 20)","(10, 30)","(25, 50, 75)",False,5,3,0.1,False,0.1,0.1,False,0.0,False,0.0,False,0.0
